mode,cv_source,jd_source,label,graph_path
file,D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000010.pt
file,D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,data\raw\jds\cntt\jd_1431_ai_middle_devops_engineer.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000011.pt
file,D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000012.pt
file,D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000013.pt
file,D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000014.pt
file,D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,data\raw\jds\cntt\jd_1587_manual_test.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000015.pt
file,D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,data\raw\jds\cntt\jd_1295_chuyen_vien_kiem_thu_phan_mem.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000016.pt
file,D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,data\raw\jds\cntt\jd_0174_chuyen_vien_phan_tich_nghiep_vu_ke_toan_.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000017.pt
file,D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,data\raw\jds\cntt\jd_1653_quan_ly_du_an_cong_nghe_thong_tin.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000018.pt
file,D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000019.pt
file,D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,data\raw\jds\cntt\jd_0174_chuyen_vien_phan_tich_nghiep_vu_ke_toan_.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000020.pt
file,D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,data\raw\jds\cntt\jd_1130_chuyen_vien_phan_tich_toi_uu_van_hanh_oo.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000021.pt
file,D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000022.pt
file,D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000023.pt
file,D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000024.pt
file,D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,data\raw\jds\cntt\jd_0061_lap_trinh_vien_androidios.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000025.pt
file,D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,data\raw\jds\cntt\jd_1259_nha_phat_trien_nha_phat_trien_ung_dung_d.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000026.pt
file,D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000027.pt
file,D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000028.pt
file,D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000029.pt
file,D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,data\raw\jds\cntt\jd_0577_ky_su_presale_system_networkav_engineer.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000030.pt
file,D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,data\raw\jds\cntt\jd_0732_ky_su_bao_mat_mang.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000031.pt
file,D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000032.pt
file,D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000033.pt
file,D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000034.pt
file,D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000035.pt
file,D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,data\raw\jds\cntt\jd_1215_nha_phan_tich_kinh_doanh_cao_cap.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000036.pt
file,D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000037.pt
file,D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,data\raw\jds\cntt\jd_0577_ky_su_presale_system_networkav_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000038.pt
file,D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000039.pt
file,D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,data\raw\jds\cntt\jd_1653_quan_ly_du_an_cong_nghe_thong_tin.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000040.pt
file,D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,data\raw\jds\cntt\jd_0839_chuyen_vien_phat_trien_phan_mem.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000041.pt
file,D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,data\raw\jds\cntt\jd_1129_nha_phan_tich_kinh_doanh_cao_cap.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000042.pt
file,D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,data\raw\jds\cntt\jd_1083_chuyen_vien_it_ho_tro_van_hanh.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000043.pt
file,D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000044.pt
file,D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,data\raw\jds\cntt\jd_1083_chuyen_vien_it_ho_tro_van_hanh.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000045.pt
file,D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,data\raw\jds\cntt\jd_0696_nhan_vien_tin_hoc.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000046.pt
file,D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,data\raw\jds\cntt\jd_0248_nhan_vien_it_support.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000047.pt
file,D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,data\raw\jds\cntt\jd_0577_ky_su_presale_system_networkav_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000048.pt
file,D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000049.pt
file,D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,data\raw\jds\cntt\jd_1713_chuyen_vien_thiet_ke_o_hoa.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000050.pt
file,D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,data\raw\jds\cntt\jd_0391_thuc_tap_sinh_thiet_ke_o_hoa.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000051.pt
file,D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,data\raw\jds\cntt\jd_1077_chuyen_vien_thiet_ke_o_hoa.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000052.pt
file,D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,data\raw\jds\cntt\jd_1316_chuyen_vien_thiet_ke_o_hoa.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000053.pt
file,D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000054.pt
file,D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000055.pt
file,D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,data\raw\jds\cntt\jd_0086_chuyen_vien_kinh_doanh_phan_mem.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000056.pt
file,D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,data\raw\jds\cntt\jd_0875_nhan_vien_kinh_doanh.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000057.pt
file,D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,data\raw\jds\cntt\jd_1370_nhan_vien_kinh_doanh_sale_phan_mem.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000058.pt
file,D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000059.pt
