jd_id,job_title,cluster_id,cluster_name,distance_to_centroid,file_path
25,Nhân Viên Lập Trình Web,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.36,data\raw\jds\cntt\jd_0025_nhan_vien_lap_trinh_web.txt
26,Nhân Viên IT Helpdesk,5,"IT / Thuật (Hệ điều hành Windows, Phần mềm văn phòng, Mạng máy tính)",0.5978,data\raw\jds\cntt\jd_0026_nhan_vien_it_helpdesk.txt
27,Nhà phát triển phần mềm cao cấp (C) - Tài chính & Ngân hàng,6,"Developer / Java (Java, MySQL, Oracle)",0.5597,data\raw\jds\cntt\jd_0027_nha_phat_trien_phan_mem_cao_cap_c_tai_ch.txt
28,Nhân Viên Tư Vấn Bán Hàng B2B,16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.5277,data\raw\jds\cntt\jd_0028_nhan_vien_tu_van_ban_hang_b2b.txt
29,Nhân Viên Kinh Doanh - Tư Vấn Phần Mềm Doanh Nghiệp,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.4812,data\raw\jds\cntt\jd_0029_nhan_vien_kinh_doanh_tu_van_phan_mem_doa.txt
30,2D UI/UX Artist (Game),9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.4957,data\raw\jds\cntt\jd_0030_2d_uiux_artist_game.txt
31,Đảm bảo chất lượng/ kiểm soát chất lượng thực tập,18,"Nhà / kinh (Jira, Figma, Confluence)",0.7467,data\raw\jds\cntt\jd_0031_am_bao_chat_luong_kiem_soat_chat_luong_t.txt
32,Chuyên Viên Phân Tích Tài Chính,14,"tích / Phân (SQL, Excel, Python)",0.7507,data\raw\jds\cntt\jd_0032_chuyen_vien_phan_tich_tai_chinh.txt
33,Backend Developer,6,"Developer / Java (Java, MySQL, Oracle)",0.5202,data\raw\jds\cntt\jd_0033_backend_developer.txt
34,Nhà phát triển Android cao cấp (Ứng dụng di động),15,"Developer / Tiếng (Java, Swift, Kotlin)",0.603,data\raw\jds\cntt\jd_0034_nha_phat_trien_android_cao_cap_ung_dung_.txt
35,Python Developer (Odoo Developer),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.5052,data\raw\jds\cntt\jd_0035_python_developer_odoo_developer.txt
36,Nhân Viên Gán Nhãn Dữ Liệu Tiếng Anh (Cấp Độ C1),7,"Thiết / Kế (Quay dựng video, audio editing, voice acting)",0.7614,data\raw\jds\cntt\jd_0036_nhan_vien_gan_nhan_du_lieu_tieng_anh_cap.txt
37,Lập Trình Viên PHP Laravel Backend,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.4432,data\raw\jds\cntt\jd_0037_lap_trinh_vien_php_laravel_backend.txt
38,Nhân Viên Triển Khai Phần Mềm ERP,4,"Kinh / Doanh (Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng bán hàng)",0.6654,data\raw\jds\cntt\jd_0038_nhan_vien_trien_khai_phan_mem_erp.txt
39,Chuyên gia phát triển sản phẩm - 4 năm kinh nghiệm (giờ làm việc linh hoạt),16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.6226,data\raw\jds\cntt\jd_0039_chuyen_gia_phat_trien_san_pham_4_nam_kin.txt
40,Thiết kế đồ họa,3,"Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.3496,data\raw\jds\cntt\jd_0040_thiet_ke_o_hoa.txt
41,NodeJS Developer,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.3974,data\raw\jds\cntt\jd_0041_nodejs_developer.txt
42,Người thử nghiệm Fresher (lên đến 14m),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.6988,data\raw\jds\cntt\jd_0042_nguoi_thu_nghiem_fresher_len_en_14m.txt
43,Business Development/Nhân Viên Kinh Doanh Phần Mềm,18,"Nhà / kinh (Jira, Figma, Confluence)",0.5636,data\raw\jds\cntt\jd_0043_business_developmentnhan_vien_kinh_doanh.txt
44,Nhân Viên Thiết Kế Chế Bản In,14,"tích / Phân (SQL, Excel, Python)",0.6636,data\raw\jds\cntt\jd_0044_nhan_vien_thiet_ke_che_ban_in.txt
45,Nhà phân tích dữ liệu trò chơi (Junior/ Middle),14,"tích / Phân (SQL, Excel, Python)",0.5679,data\raw\jds\cntt\jd_0045_nha_phan_tich_du_lieu_tro_choi_junior_mi.txt
46,Nhà phân tích kinh doanh/po,18,"Nhà / kinh (Jira, Figma, Confluence)",0.6353,data\raw\jds\cntt\jd_0046_nha_phan_tich_kinh_doanhpo.txt
47,Nhà phân tích kinh doanh (nói tiếng Hàn),19,"Nhà / kinh (Quản lý dự án, Phân tích nghiệp vụ, Phân tích yêu cầu)",0.7588,data\raw\jds\cntt\jd_0047_nha_phan_tich_kinh_doanh_noi_tieng_han.txt
48,Nhà thiết kế web UI/UX (figma/ui/ux - ưu tin shopify),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.5524,data\raw\jds\cntt\jd_0048_nha_thiet_ke_web_uiux_figmauiux_uu_tin_s.txt
49,Nhân Viên Thiết Kế,9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.3539,data\raw\jds\cntt\jd_0049_nhan_vien_thiet_ke.txt
50,Nhà phát triển phụ trợ cao cấp,6,"Developer / Java (Java, MySQL, Oracle)",0.5164,data\raw\jds\cntt\jd_0050_nha_phat_trien_phu_tro_cao_cap.txt
51,Video Editor,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5733,data\raw\jds\cntt\jd_0051_video_editor.txt
52,"Software Test (Tester, QA, ERP)",10,"Tester / Manual (Kiểm thử phần mềm, SQL, Viết Testcase)",0.5732,data\raw\jds\cntt\jd_0052_software_test_tester_qa_erp.txt
53,Thiết Kế Và Sản Xuất Animator,13,"3D / Thiết (Photoshop, Unity, Maya)",0.6647,data\raw\jds\cntt\jd_0053_thiet_ke_va_san_xuat_animator.txt
54,Chuyên gia quản trị an ninh CNTT,17,"Hệ / Engineer (Linux, Network, Storage)",0.6606,data\raw\jds\cntt\jd_0054_chuyen_gia_quan_tri_an_ninh_cntt.txt
55,Nhân Viên Kinh Doanh/ Tư Vấn/ Sale Giải Pháp Phần Mềm (Nghỉ T7-CN) - Thu Nhập Hấp Dẫn,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.6093,data\raw\jds\cntt\jd_0055_nhan_vien_kinh_doanh_tu_van_sale_giai_ph.txt
56,Chuyên Viên ERP,18,"Nhà / kinh (Jira, Figma, Confluence)",0.6966,data\raw\jds\cntt\jd_0056_chuyen_vien_erp.txt
57,Backend Developer,6,"Developer / Java (Java, MySQL, Oracle)",0.404,data\raw\jds\cntt\jd_0057_backend_developer.txt
58,"Kỹ sư DevOps (trên cơ sở, CI/CD, K8S)",2,"Engineer / Developer (Python, Docker, Kubernetes)",0.7716,data\raw\jds\cntt\jd_0058_ky_su_devops_tren_co_so_cicd_k8s.txt
59,Nhà phát triển .NET cao cấp (AI),6,"Developer / Java (Java, MySQL, Oracle)",0.532,data\raw\jds\cntt\jd_0059_nha_phat_trien_net_cao_cap_ai.txt
60,FX Artist,13,"3D / Thiết (Photoshop, Unity, Maya)",0.6979,data\raw\jds\cntt\jd_0060_fx_artist.txt
61,Lập Trình Viên Android/IOS,15,"Developer / Tiếng (Java, Swift, Kotlin)",0.516,data\raw\jds\cntt\jd_0061_lap_trinh_vien_androidios.txt
62,Fresher C/nhúng,18,"Nhà / kinh (Jira, Figma, Confluence)",0.594,data\raw\jds\cntt\jd_0062_fresher_cnhung.txt
63,"Hỗ trợ khách hàng của ERP - không có nền tảng, thích tốt nghiệp mới từ DAV/NEU/AOF/ULIS/TMU",0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.9904,data\raw\jds\cntt\jd_0063_ho_tro_khach_hang_cua_erp_khong_co_nen_t.txt
64,Lập Trình Viên,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.5818,data\raw\jds\cntt\jd_0064_lap_trinh_vien.txt
65,Frontend Developer (ReactJS),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.3822,data\raw\jds\cntt\jd_0065_frontend_developer_reactjs.txt
66,Nhân Viên Kỹ Thuật Máy Tính,5,"IT / Thuật (Hệ điều hành Windows, Phần mềm văn phòng, Mạng máy tính)",0.4516,data\raw\jds\cntt\jd_0066_nhan_vien_ky_thuat_may_tinh.txt
67,"Kỹ Thuật Viên Mảng CNTT, Điện",12,"Doanh / Kinh (Tin học văn phòng, Tin học văn phòng (Word, Excel, PowerPoint), Sử dụng CRM)",0.7018,data\raw\jds\cntt\jd_0067_ky_thuat_vien_mang_cntt_ien.txt
68,Chuyên Viên Kinh Doanh Phần Mềm,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.4264,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt
69,Nhân Viên Kinh Doanh Phần Mềm,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.457,data\raw\jds\cntt\jd_0069_nhan_vien_kinh_doanh_phan_mem.txt
70,Nhà phân tích kinh doanh (giữa),18,"Nhà / kinh (Jira, Figma, Confluence)",0.5286,data\raw\jds\cntt\jd_0070_nha_phan_tich_kinh_doanh_giua.txt
71,Nhân Viên Triển Khai Phần Mềm,18,"Nhà / kinh (Jira, Figma, Confluence)",0.5741,data\raw\jds\cntt\jd_0071_nhan_vien_trien_khai_phan_mem.txt
72,Nhân Viên Kinh Doanh/Sales B2B/ Tư Vấn Phần Mềm,16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.615,data\raw\jds\cntt\jd_0072_nhan_vien_kinh_doanhsales_b2b_tu_van_pha.txt
73,Nhà phát triển blockchain,18,"Nhà / kinh (Jira, Figma, Confluence)",0.7503,data\raw\jds\cntt\jd_0073_nha_phat_trien_blockchain.txt
74,IT Engineer,17,"Hệ / Engineer (Linux, Network, Storage)",0.4928,data\raw\jds\cntt\jd_0074_it_engineer.txt
75,Nhân Viên Thiết Kế 3D,9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.4292,data\raw\jds\cntt\jd_0075_nhan_vien_thiet_ke_3d.txt
76,Nhân Viên Kinh Doanh Phần Mềm,4,"Kinh / Doanh (Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng bán hàng)",0.4526,data\raw\jds\cntt\jd_0076_nhan_vien_kinh_doanh_phan_mem.txt
77,Người kiểm tra thủ công (QA/QC),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.6005,data\raw\jds\cntt\jd_0077_nguoi_kiem_tra_thu_cong_qaqc.txt
78,"Tester Tiếng Nhật (N2, Không Yêu Cầu Kinh Nghiệm)",15,"Developer / Tiếng (Java, Swift, Kotlin)",0.9326,data\raw\jds\cntt\jd_0078_tester_tieng_nhat_n2_khong_yeu_cau_kinh_.txt
79,Nhân Viên Thiết Kế - In Ấn Bao Bì Tem Nhãn,9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.4269,data\raw\jds\cntt\jd_0079_nhan_vien_thiet_ke_in_an_bao_bi_tem_nhan.txt
80,Nam Nhân Viên Thiết Kế - Graphic Designer,3,"Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.2991,data\raw\jds\cntt\jd_0080_nam_nhan_vien_thiet_ke_graphic_designer.txt
81,Frontend Developer,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.4894,data\raw\jds\cntt\jd_0081_frontend_developer.txt
82,"Hỗ trợ khách hàng của ERP - không có nền tảng, thích tốt nghiệp mới từ DAV/NEU/AOF/ULIS/TMU",0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.9904,data\raw\jds\cntt\jd_0082_ho_tro_khach_hang_cua_erp_khong_co_nen_t.txt
83,Nhà phát triển Frontend (ReactJS),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.375,data\raw\jds\cntt\jd_0083_nha_phat_trien_frontend_reactjs.txt
84,Nhân Viên Kỹ Thuật Máy Tính,5,"IT / Thuật (Hệ điều hành Windows, Phần mềm văn phòng, Mạng máy tính)",0.6327,data\raw\jds\cntt\jd_0084_nhan_vien_ky_thuat_may_tinh.txt
85,"Kỹ Thuật Viên Mảng CNTT, Điện",12,"Doanh / Kinh (Tin học văn phòng, Tin học văn phòng (Word, Excel, PowerPoint), Sử dụng CRM)",0.7018,data\raw\jds\cntt\jd_0085_ky_thuat_vien_mang_cntt_ien.txt
86,Chuyên Viên Kinh Doanh Phần Mềm,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.4264,data\raw\jds\cntt\jd_0086_chuyen_vien_kinh_doanh_phan_mem.txt
87,Nhân Viên Kinh Doanh Phần Mềm,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.457,data\raw\jds\cntt\jd_0087_nhan_vien_kinh_doanh_phan_mem.txt
88,Manual Tester,14,"tích / Phân (SQL, Excel, Python)",0.6099,data\raw\jds\cntt\jd_0088_manual_tester.txt
89,Nhân Viên Triển Khai Phần Mềm,18,"Nhà / kinh (Jira, Figma, Confluence)",0.5741,data\raw\jds\cntt\jd_0089_nhan_vien_trien_khai_phan_mem.txt
90,Nhân Viên Kinh Doanh/Sales B2B/ Tư Vấn Phần Mềm,16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.5939,data\raw\jds\cntt\jd_0090_nhan_vien_kinh_doanhsales_b2b_tu_van_pha.txt
91,Nhà phát triển blockchain,18,"Nhà / kinh (Jira, Figma, Confluence)",0.7503,data\raw\jds\cntt\jd_0091_nha_phat_trien_blockchain.txt
92,IT Engineer,17,"Hệ / Engineer (Linux, Network, Storage)",0.4928,data\raw\jds\cntt\jd_0092_it_engineer.txt
93,Nhân Viên Thiết Kế 3D,9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.4292,data\raw\jds\cntt\jd_0093_nhan_vien_thiet_ke_3d.txt
94,Người kiểm tra thủ công (QA/QC),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.6005,data\raw\jds\cntt\jd_0094_nguoi_kiem_tra_thu_cong_qaqc.txt
95,"Tester Tiếng Nhật (N2, Không Yêu Cầu Kinh Nghiệm)",15,"Developer / Tiếng (Java, Swift, Kotlin)",0.9326,data\raw\jds\cntt\jd_0095_tester_tieng_nhat_n2_khong_yeu_cau_kinh_.txt
96,Nhân Viên Thiết Kế - In Ấn Bao Bì Tem Nhãn,9,"Thiết / Kế (Photoshop, Illustrator, Figma)",0.4269,data\raw\jds\cntt\jd_0096_nhan_vien_thiet_ke_in_an_bao_bi_tem_nhan.txt
97,Nam Nhân Viên Thiết Kế - Graphic Designer,3,"Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.2991,data\raw\jds\cntt\jd_0097_nam_nhan_vien_thiet_ke_graphic_designer.txt
98,Frontend Developer,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.4894,data\raw\jds\cntt\jd_0098_frontend_developer.txt
99,[Model App] - CVC Phân Tích Nghiệp Vụ,2,"Engineer / Developer (Python, Docker, Kubernetes)",0.572,data\raw\jds\cntt\jd_0099_model_app_cvc_phan_tich_nghiep_vu.txt
100,Nhà phát triển Stack đầy đủ,6,"Developer / Java (Java, MySQL, Oracle)",0.4778,data\raw\jds\cntt\jd_0100_nha_phat_trien_stack_ay_u.txt
101,Database Engineer (DBA),14,"tích / Phân (SQL, Excel, Python)",0.6345,data\raw\jds\cntt\jd_0101_database_engineer_dba.txt
102,"Kỹ Sư AI, Xử Lý NLP Và Dữ Liệu Tiếng Việt",2,"Engineer / Developer (Python, Docker, Kubernetes)",0.5146,data\raw\jds\cntt\jd_0102_ky_su_ai_xu_ly_nlp_va_du_lieu_tieng_viet.txt
103,Nhân Viên Thiết Kế Đồ Hoạ,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5016,data\raw\jds\cntt\jd_0103_nhan_vien_thiet_ke_o_hoa.txt
104,Họa Viên Revit,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5484,data\raw\jds\cntt\jd_0104_hoa_vien_revit.txt
105,"Nhà phát triển phần mềm (NodeJS, Oracle, Microservice)",6,"Developer / Java (Java, MySQL, Oracle)",0.3521,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt
106,Kỹ Sư Giải Pháp Công Nghệ Thông Tin / PreSales - 3 Năm Kinh Nghiệm,11,"IT / Quản (VMware, Triển khai và vận hành hệ thống VOIP (Asterisk, FreePbx, FreeSWITCH, Kamailio, OpenSIPS, 3CX), Giao thức SIP, RTP, WebRTC, STUN/TURN/ICE, NAT Traversal)",0.6292,data\raw\jds\cntt\jd_0106_ky_su_giai_phap_cong_nghe_thong_tin_pres.txt
107,System Engineer,15,"Developer / Tiếng (Java, Swift, Kotlin)",0.8409,data\raw\jds\cntt\jd_0107_system_engineer.txt
108,Giảng Viên Công Nghệ Thông Tin/ Khoa Học Máy Tính,17,"Hệ / Engineer (Linux, Network, Storage)",0.4971,data\raw\jds\cntt\jd_0108_giang_vien_cong_nghe_thong_tin_khoa_hoc_.txt
109,Trưởng Nhóm An Ninh Mạng/ Cyber Security Lead,17,"Hệ / Engineer (Linux, Network, Storage)",0.5454,data\raw\jds\cntt\jd_0109_truong_nhom_an_ninh_mang_cyber_security_.txt
110,BIM Manager (Chuyên Ngành MEP),18,"Nhà / kinh (Jira, Figma, Confluence)",0.611,data\raw\jds\cntt\jd_0110_bim_manager_chuyen_nganh_mep.txt
111,Nhân Viên Tư Vấn Và Thiết Kế Giải Pháp,17,"Hệ / Engineer (Linux, Network, Storage)",0.5499,data\raw\jds\cntt\jd_0111_nhan_vien_tu_van_va_thiet_ke_giai_phap.txt
112,Chuyên Viên Kỹ Thuật Vận Hành VoIP,11,"IT / Quản (VMware, Triển khai và vận hành hệ thống VOIP (Asterisk, FreePbx, FreeSWITCH, Kamailio, OpenSIPS, 3CX), Giao thức SIP, RTP, WebRTC, STUN/TURN/ICE, NAT Traversal)",0.6872,data\raw\jds\cntt\jd_0112_chuyen_vien_ky_thuat_van_hanh_voip.txt
113,Kỹ sư phần mềm-phát triển IDE của họ cho RISC-V,6,"Developer / Java (Java, MySQL, Oracle)",0.5785,data\raw\jds\cntt\jd_0113_ky_su_phan_mem_phat_trien_ide_cua_ho_cho.txt
114,3D Rigging Artist,13,"3D / Thiết (Photoshop, Unity, Maya)",0.6154,data\raw\jds\cntt\jd_0114_3d_rigging_artist.txt
115,2D Anim / VFX Artist,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5746,data\raw\jds\cntt\jd_0115_2d_anim_vfx_artist.txt
116,Nhân Viên Kinh Doanh Phần Mềm,16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.5933,data\raw\jds\cntt\jd_0116_nhan_vien_kinh_doanh_phan_mem.txt
117,Huấn luyện viên AI - Âm thanh (tiếng Anh C1),7,"Thiết / Kế (Quay dựng video, audio editing, voice acting)",0.8704,data\raw\jds\cntt\jd_0117_huan_luyen_vien_ai_am_thanh_tieng_anh_c1.txt
118,Game Designer,13,"3D / Thiết (Photoshop, Unity, Maya)",0.7281,data\raw\jds\cntt\jd_0118_game_designer.txt
119,Chuyên Viên Kỹ Thuật Vận Hành VoIP,11,"IT / Quản (VMware, Triển khai và vận hành hệ thống VOIP (Asterisk, FreePbx, FreeSWITCH, Kamailio, OpenSIPS, 3CX), Giao thức SIP, RTP, WebRTC, STUN/TURN/ICE, NAT Traversal)",0.664,data\raw\jds\cntt\jd_0119_chuyen_vien_ky_thuat_van_hanh_voip.txt
120,3D Rigging Artist,13,"3D / Thiết (Photoshop, Unity, Maya)",0.6154,data\raw\jds\cntt\jd_0120_3d_rigging_artist.txt
121,2D Anim / VFX Artist,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5944,data\raw\jds\cntt\jd_0121_2d_anim_vfx_artist.txt
122,Nhân Viên Kinh Doanh Phần Mềm,16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.5875,data\raw\jds\cntt\jd_0122_nhan_vien_kinh_doanh_phan_mem.txt
123,Huấn luyện viên AI - Âm thanh (tiếng Anh C1),7,"Thiết / Kế (Quay dựng video, audio editing, voice acting)",0.848,data\raw\jds\cntt\jd_0123_huan_luyen_vien_ai_am_thanh_tieng_anh_c1.txt
124,Mua lại người dùng - Tiếp thị kỹ thuật số (ứng dụng di động),18,"Nhà / kinh (Jira, Figma, Confluence)",0.7647,data\raw\jds\cntt\jd_0124_mua_lai_nguoi_dung_tiep_thi_ky_thuat_so_.txt
125,Chuyên gia phát triển kinh doanh,4,"Kinh / Doanh (Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng bán hàng)",0.4659,data\raw\jds\cntt\jd_0125_chuyen_gia_phat_trien_kinh_doanh.txt
126,Kỹ Sư Phát Triển Phần Mềm Hiệu Năng Cao,2,"Engineer / Developer (Python, Docker, Kubernetes)",0.5353,data\raw\jds\cntt\jd_0126_ky_su_phat_trien_phan_mem_hieu_nang_cao.txt
127,Nhân Viên Sales (Business Development),16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.7609,data\raw\jds\cntt\jd_0127_nhan_vien_sales_business_development.txt
128,Giảng Viên Lập Trình Part-Time,15,"Developer / Tiếng (Java, Swift, Kotlin)",0.8175,data\raw\jds\cntt\jd_0128_giang_vien_lap_trinh_part_time.txt
129,Nhà phát triển Python (phụ trợ - AI),2,"Engineer / Developer (Python, Docker, Kubernetes)",0.4536,data\raw\jds\cntt\jd_0129_nha_phat_trien_python_phu_tro_ai.txt
130,Backend Engineer,6,"Developer / Java (Java, MySQL, Oracle)",0.6216,data\raw\jds\cntt\jd_0130_backend_engineer.txt
131,Nhân Viên Kiểm Thử,10,"Tester / Manual (Kiểm thử phần mềm, SQL, Viết Testcase)",0.5253,data\raw\jds\cntt\jd_0131_nhan_vien_kiem_thu.txt
132,Nhân Viên Unity Developer- Mobile Game,18,"Nhà / kinh (Jira, Figma, Confluence)",0.6265,data\raw\jds\cntt\jd_0132_nhan_vien_unity_developer_mobile_game.txt
133,Nhà phát triển WordPress,8,"Developer / Nhà (CSS, HTML, JavaScript)",0.4767,data\raw\jds\cntt\jd_0133_nha_phat_trien_wordpress.txt
