cv_path,jd_path,label,note
D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,jd_0248,1,"Hard Negative (Cluster 11, sim=0.8748)"
D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,jd_0577,1,"Hard Negative (Cluster 17, sim=0.8442)"
D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.3697)"
D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,jd_1713,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,jd_0391,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,jd_1077,1,"Hard Negative (Cluster 9, sim=0.9305)"
D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,jd_1316,1,"Hard Negative (Cluster 7, sim=0.7729)"
D:\doantotnghiep\data\raw\cvs\cv_03_ui_ux_designer.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.2459)"
D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,jd_0068,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,jd_0086,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,jd_0875,1,"Hard Negative (Cluster 12, sim=0.6602)"
D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,jd_1370,1,"Hard Negative (Cluster 4, sim=0.483)"
D:\doantotnghiep\data\raw\cvs\cv_00_software_sales.txt,jd_0105,0,"Easy Negative (Cluster 6, sim=0.116)"
